Rk,Player,From,To,Yrs,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,ID
1,Keith Acton,1989,1993,5,303,45,72,117,-24,424,39,2,4,4,66,5,1,405,11.1,,,actonke01
2,Greg Adams,1981,1982,2,39,7,15,22,7,113,7,0,0,0,15,0,0,35,20,,,adamsgr01
3,Dmitry Afanasenkov,2007,2007,1,41,8,7,15,-19,12,8,0,0,0,7,0,0,65,12.3,481,11:44:00 AM,afanadm01
4,Jason Akeson,2013,2015,3,15,1,1,2,2,8,1,0,0,0,1,0,0,13,7.7,130,08:42:00 AM,akesoja01
5,Andrew Alberts,2009,2009,1,79,1,12,13,6,61,1,0,0,0,11,0,1,46,2.2,1248,03:48:00 PM,alberan01
6,Ray Allison,1982,1987,5,168,47,81,128,54,210,38,9,0,3,64,17,0,370,12.7,,,allisra01
7,Wade Allison,2021,2023,3,75,13,9,22,-3,40,12,1,0,3,9,0,0,115,11.3,963,12:50:00 PM,alliswa01
8,Mark Alt,2015,2018,2,9,0,0,0,-1,2,0,0,0,0,0,0,0,5,0,117,12:59:00 PM,altma01
9,Tony Amonte,2003,2004,2,93,27,41,68,25,40,21,5,1,5,21,20,0,210,12.9,1448,03:34:00 PM,amontto01
10,Shawn Anderson,1995,1995,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,andersh01
11,Mikael Andersson,1999,2000,2,43,2,4,6,-1,0,1,0,1,0,4,0,0,49,4.1,468,10:53:00 AM,andermi01
12,Emil Andrae,2024,2024,1,4,0,0,0,-1,0,0,0,0,0,0,0,0,0,,52,01:00:00 PM,andraem01
13,Andy Andreoff,2020,2021,2,20,0,1,1,-9,11,0,0,0,0,1,0,0,16,0,171,08:33:00 AM,andrean01
14,Lou Angotti,1968,1968,1,70,12,37,49,4,35,10,2,0,1,29,7,1,147,8.2,,,angotlo01
15,Shawn Antoski,1995,1996,2,89,1,3,4,-4,265,1,0,0,0,3,0,0,46,2.2,,,antossh01
16,Bill Armstrong,1991,1991,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,,,armstbi01
17,Fred Arthur,1982,1983,2,77,1,8,9,-7,49,1,0,0,0,7,0,1,34,2.9,,,arthufr01
18,Arron Asham,2009,2010,2,150,18,26,44,-2,281,18,0,0,3,26,0,0,165,10.9,1408,09:23:00 AM,ashamar01
19,Barry Ashbee,1971,1974,4,270,15,67,82,56,277,10,4,1,2,48,16,3,328,4.6,,,ashbeba01
20,Cam Atkinson,2022,2024,2,110,31,37,68,-11,24,26,2,3,8,31,6,0,328,9.5,1967,05:53:00 PM,atkinca01
21,Ronald Attard,2022,2023,2,17,2,2,4,-2,8,2,0,0,0,2,0,0,21,9.5,282,04:37:00 PM,attarro01
22,Nicolas Aubé-Kubel,2019,2022,4,102,10,18,28,-4,69,8,2,0,1,17,1,0,112,8.9,1084,10:38:00 AM,aubekni01
23,Dave Babych,1998,1999,2,39,2,4,6,2,32,0,2,0,0,1,3,0,50,4,700,09:14:00 PM,babycda01
